t,dtMs,drawCalls,setPass,batches,bullets
6.857,4.08,31,29,31,0
6.862,5.20,31,29,31,0
6.867,4.65,31,29,31,0
6.871,4.05,31,29,31,0
6.875,4.17,31,29,31,0
6.879,4.39,31,29,31,0
6.885,6.15,31,29,31,0
6.890,4.42,31,29,31,0
6.894,4.56,31,29,31,0
6.899,4.17,31,29,31,0
6.903,4.85,31,29,31,0
6.908,4.82,31,29,31,0
6.913,4.87,31,29,31,0
6.918,4.85,31,29,31,0
6.923,4.84,31,29,31,0
6.929,6.05,31,29,31,0
6.934,5.29,31,29,31,0
6.939,5.05,31,29,31,0
6.945,5.93,31,29,31,0
6.950,4.44,31,29,31,0
6.954,4.31,31,29,31,0
6.958,4.48,31,29,31,0
6.963,4.11,31,29,31,0
6.968,5.46,31,29,31,0
6.974,5.61,31,29,31,0
6.978,4.34,31,29,31,0
6.983,4.95,31,29,31,0
6.989,6.00,31,29,31,0
6.994,5.15,31,29,31,0
6.999,5.30,31,29,31,0
7.004,4.77,31,29,31,0
7.008,4.27,31,29,31,0
7.013,4.12,31,29,31,0
7.018,5.24,31,29,31,0
7.022,4.21,31,29,31,0
7.027,4.87,31,29,31,0
7.031,4.59,31,29,31,0
7.037,5.24,31,29,31,0
7.041,4.65,31,29,31,0
7.046,5.09,31,29,31,0
7.052,5.25,31,29,31,0
7.056,4.25,31,29,31,0
7.060,4.44,31,29,31,0
7.066,6.13,31,29,31,0
7.071,4.65,31,29,31,0
7.076,4.68,31,29,31,0
7.080,4.69,31,29,31,0
7.085,4.73,31,29,31,0
7.135,50.14,31,29,31,0
7.142,6.19,31,29,31,0
7.146,4.26,31,29,31,0
7.150,4.03,31,29,31,0
7.157,6.84,31,29,31,0
7.162,5.40,31,29,31,0
7.168,5.92,31,29,31,0
7.174,5.92,31,29,31,0
7.178,4.51,31,29,31,0
7.183,5.02,31,29,31,0
7.189,5.11,31,29,31,0
7.193,4.14,31,29,31,0
7.197,4.14,31,29,31,0
7.202,5.36,31,29,31,0
7.209,6.33,31,29,31,0
7.213,4.46,32,30,32,0
7.222,8.57,32,30,32,0
7.226,4.37,33,31,33,0
7.231,5.47,33,31,33,0
7.238,6.78,33,31,33,0
7.244,5.71,33,31,33,0
7.249,5.53,33,31,33,0
7.255,5.17,33,31,33,0
7.260,4.95,33,31,33,0
7.266,6.57,33,31,33,1
7.271,5.11,34,32,34,1
7.279,7.38,34,32,34,1
7.284,4.99,34,32,34,1
7.288,4.38,34,32,34,1
7.293,4.91,34,32,34,1
7.298,4.83,34,32,34,1
7.303,5.09,34,32,34,1
7.308,5.13,34,32,34,2
7.313,4.68,35,32,35,2
7.319,6.10,35,32,35,4
7.324,5.40,37,32,37,6
7.330,5.77,39,32,39,9
7.335,4.90,42,32,42,12
7.340,5.03,45,32,45,14
7.344,4.50,47,32,47,16
7.349,4.43,49,32,49,18
7.353,4.62,51,32,51,20
7.359,5.24,53,32,53,22
7.363,4.88,55,32,55,24
7.369,5.32,57,32,57,27
7.373,4.65,60,32,60,29
7.378,4.97,62,32,62,31
7.383,4.42,64,32,64,33
7.388,5.08,66,32,66,35
7.393,4.97,68,32,68,38
7.398,4.76,71,32,71,40
7.403,5.27,73,32,73,42
7.408,5.16,75,32,75,44
7.413,4.73,77,32,77,47
7.418,4.86,80,32,80,49
7.423,5.32,82,32,82,51
7.428,5.38,84,32,84,53
7.434,5.68,86,33,86,56
7.440,5.86,89,33,89,58
7.445,4.88,91,33,91,61
7.450,5.35,94,33,94,63
7.455,5.05,96,33,96,66
7.461,6.24,99,33,99,68
7.467,5.49,101,33,101,71
7.472,4.72,104,33,104,73
7.477,5.76,106,33,106,75
7.529,51.90,108,33,108,78
7.537,7.32,111,33,111,101
7.543,6.35,134,33,134,105
7.549,5.64,138,33,138,107
7.555,6.28,140,33,140,110
7.560,5.18,143,33,143,113
7.566,5.71,146,33,146,115
7.571,5.28,148,33,148,118
7.577,6.19,151,33,151,120
7.583,5.39,153,33,153,123
7.587,4.46,156,33,156,125
7.594,7.36,158,33,158,127
7.599,4.76,160,33,160,131
7.604,4.87,164,33,164,133
7.609,5.40,166,33,166,135
7.614,4.52,168,33,168,137
7.619,4.87,170,33,170,139
7.625,6.22,172,33,172,142
7.630,4.85,175,33,175,144
7.637,7.22,177,33,177,147
7.642,5.24,180,33,180,150
7.647,4.57,183,33,183,152
7.652,5.11,185,33,185,154
7.658,6.21,187,33,187,156
7.663,4.97,189,33,189,159
7.670,6.48,192,33,192,162
7.676,6.18,195,33,195,164
7.681,5.06,197,33,197,167
7.687,6.32,200,33,200,169
7.693,5.37,202,33,202,172
7.698,5.51,205,33,205,175
7.703,5.14,208,33,208,177
7.708,4.66,210,33,210,180
7.713,5.06,213,33,213,182
7.718,5.16,215,33,215,184
7.724,5.77,217,33,217,186
7.729,4.98,219,33,219,189
7.734,5.37,222,33,222,191
7.740,5.96,224,33,224,193
7.745,5.01,226,33,226,196
7.750,5.12,229,33,229,198
7.756,5.20,231,33,231,201
7.761,5.81,234,33,234,203
7.767,5.89,236,33,236,206
7.772,5.11,239,33,239,208
7.779,6.25,241,33,241,211
7.832,53.15,244,33,244,213
7.839,7.59,246,33,246,237
7.845,6.16,270,35,270,241
7.851,5.09,274,35,274,244
7.858,7.05,277,35,277,246
7.863,5.05,279,35,279,249
7.870,6.89,281,33,281,251
7.876,5.95,283,33,283,254
7.881,5.76,286,33,286,257
7.887,5.83,289,33,289,260
7.893,5.72,292,33,292,262
7.898,5.64,294,33,294,265
7.904,5.55,297,33,297,267
