t,dtMs,drawCalls,setPass,batches,bullets
8.995,5.60,30,28,30,529
8.999,4.52,30,28,30,526
9.004,4.76,30,28,30,523
9.009,5.19,30,28,30,520
9.015,5.63,30,28,30,520
9.022,7.02,30,28,30,518
9.069,46.99,30,28,30,515
9.074,5.23,30,28,30,494
9.079,5.28,30,28,30,491
9.085,5.79,30,28,30,488
9.090,5.05,30,28,30,486
9.095,5.40,30,28,30,483
9.102,6.88,30,28,30,481
9.108,5.31,30,28,30,478
9.113,5.05,30,28,30,476
9.118,5.68,30,28,30,473
9.125,6.11,30,28,30,470
9.131,6.26,30,28,30,468
9.136,5.02,30,28,30,465
9.141,5.57,30,28,30,463
9.147,5.94,30,28,30,460
9.152,4.60,30,28,30,457
9.157,4.74,30,28,30,454
9.162,5.50,30,28,30,452
9.168,5.89,30,28,30,428
9.173,5.06,30,28,30,428
9.179,5.64,30,28,30,428
9.185,5.96,30,28,30,428
9.191,5.86,30,28,30,428
9.197,6.56,30,28,30,428
9.202,5.02,30,28,30,428
9.208,5.91,30,28,30,428
9.213,5.38,30,28,30,428
9.220,6.29,30,28,30,428
9.226,6.51,30,28,30,426
9.232,6.08,30,28,30,422
9.237,5.01,30,28,30,419
9.243,6.02,30,28,30,416
9.248,5.04,30,28,30,413
9.254,5.29,30,28,30,411
9.260,6.33,30,28,30,408
9.265,5.12,30,28,30,406
9.271,5.41,30,28,30,403
9.275,4.64,30,28,30,401
9.280,4.97,30,28,30,401
9.286,5.81,30,28,30,399
9.291,5.21,30,28,30,394
9.297,5.41,30,28,30,392
9.301,4.87,30,28,30,389
9.308,6.89,30,28,30,389
9.315,6.22,30,28,30,383
9.320,5.53,30,28,30,381
9.327,6.55,30,28,30,379
9.373,45.95,30,28,30,377
9.378,5.75,30,28,30,356
9.383,5.04,30,28,30,354
9.388,4.98,30,28,30,352
9.394,6.00,30,28,30,350
9.399,4.72,30,28,30,344
9.405,5.57,30,28,30,344
9.410,4.98,30,28,30,342
9.415,4.89,30,28,30,340
9.422,7.58,30,28,30,337
9.427,5.11,30,28,30,335
9.432,5.04,30,28,30,332
9.437,5.15,30,28,30,330
9.442,4.64,30,28,30,327
9.448,5.94,30,28,30,325
9.454,6.22,30,28,30,323
9.461,6.39,30,28,30,320
9.466,5.85,30,28,30,317
9.471,4.91,30,28,30,293
9.476,4.97,30,28,30,293
9.482,5.38,30,28,30,293
9.487,4.97,30,28,30,293
9.493,6.11,30,28,30,293
9.498,5.72,30,28,30,293
9.504,5.76,30,28,30,293
9.510,5.71,30,28,30,293
9.517,7.25,30,28,30,293
9.523,5.49,30,28,30,291
9.528,5.29,30,28,30,288
9.535,7.37,30,28,30,285
9.540,4.68,30,28,30,283
9.545,5.29,30,28,30,281
9.551,5.52,30,28,30,278
9.557,5.67,30,28,30,275
9.563,6.26,30,28,30,273
9.569,6.36,30,28,30,271
9.575,6.03,30,28,30,268
9.581,5.41,30,28,30,265
9.586,5.09,30,28,30,262
9.591,5.38,30,28,30,260
9.596,4.74,30,28,30,258
9.600,4.61,30,28,30,256
9.605,5.01,30,28,30,253
9.611,5.73,30,28,30,249
9.616,5.30,30,28,30,249
9.622,5.36,30,28,30,247
9.628,5.83,30,28,30,245
9.672,44.35,30,28,30,240
9.679,6.81,30,28,30,221
9.685,6.09,30,28,30,219
9.692,6.69,30,28,30,216
9.697,5.03,30,28,30,213
9.702,5.85,30,28,30,210
9.709,6.68,30,28,30,207
